ID,cut,color,clarity,depth,table,price,x,y,z
4271,Ideal,F,VS1,62.5,52.4,1680,5.06,5.12,3.18
4272,Ideal,G,VS2,61.0,57.0,1061,4.83,4.77,2.93
4273,Ideal,E,VS1,61.6,56.2,771,4.41,4.45,2.73
4274,Premium,F,SI1,61.5,59.0,1421,5.13,5.14,3.16
4275,Premium,G,SI1,59.6,58.0,630,4.56,4.53,2.71
4276,Premium,D,SI1,60.2,57.0,970,4.89,4.85,2.93
4277,Ideal,H,VVS2,60.2,56.0,775,4.37,4.33,2.62
4278,Ideal,E,VS2,62.0,54.0,900,4.41,4.36,2.72
4279,Ideal,E,VS2,62.2,57.0,622,4.27,4.32,2.67
4280,Good,E,VS2,63.8,59.0,6843,6.32,6.35,4.04
4281,Very Good,F,VS1,59.0,56.0,2405,5.66,5.76,3.37
4282,Ideal,H,VVS1,62.5,53.0,1648,5.09,5.12,3.19
4283,,F,SI2,62.2,57.0,4795,6.43,6.37,3.98
4284,Ideal,E,VS2,60.9,56.0,3300,5.81,5.85,3.55
4285,,G,SI1,62.9,59.0,2670,5.8,5.87,3.67
4286,Very Good,E,SI1,62.6,60.0,525,4.24,4.29,2.67
4287,Premium,D,SI2,61.4,59.0,6839,6.88,6.89,4.23
4288,Good,F,VVS2,63.7,58.0,14654,7.18,7.24,4.59
4289,Very Good,I,VS2,63.0,57.0,449,4.33,4.37,2.74
4290,Very Good,D,VS1,59.9,61.0,1423,5.05,5.04,3.02
4291,Very Good,E,VS2,61.2,60.0,14281,7.5,7.39,4.56
4292,,F,VS1,60.8,56.0,803,4.61,4.64,2.81
4293,Ideal,J,SI1,62.8,54.0,3857,6.46,6.43,4.05
4294,Premium,H,SI1,63.1,57.0,5465,6.55,6.42,4.09
4295,Good,G,VS2,58.4,59.0,1605,5.39,5.46,3.17
4296,Ideal,F,VS2,61.6,55.0,828,4.41,4.39,2.71
4297,Good,I,VS1,63.8,58.0,12755,7.57,7.52,4.81
4298,Very Good,D,SI1,61.1,56.0,2724,5.74,5.78,3.52
4299,Very Good,E,SI2,62.8,56.0,3763,6.14,6.18,3.87
4300,Ideal,E,SI2,60.5,54.0,4858,6.41,6.38,3.87
4301,Premium,G,SI1,61.7,57.0,853,4.77,4.7,2.92
4302,Ideal,D,SI2,62.2,56.0,592,4.38,4.36,2.72
4303,Ideal,I,VS1,62.0,54.0,432,4.17,4.18,2.59
4304,Very Good,F,VS2,62.8,57.0,801,4.58,4.63,2.89
4305,Premium,H,SI2,59.9,55.0,15996,8.27,8.18,4.93
4306,Premium,H,SI2,62.5,58.0,4639,6.61,6.55,4.11
4307,Premium,J,IF,62.1,58.0,10351,7.53,7.47,4.66
4308,Ideal,J,SI1,62.4,56.0,3170,6.24,6.27,3.9
4309,Ideal,G,SI1,61.1,57.0,2307,5.8,5.73,3.52
4310,Ideal,H,VVS1,61.4,56.0,794,4.58,4.61,2.82
4311,Ideal,I,SI1,62.5,57.0,432,4.33,4.38,2.72
4312,Ideal,F,VS1,60.9,56.0,1813,5.3,5.27,3.22
4313,Ideal,G,VS2,62.8,56.0,6108,6.42,6.39,4.02
4314,Premium,G,VS1,62.4,59.0,802,4.34,4.32,2.7
4315,Premium,E,VS2,59.6,58.0,2061,5.36,5.32,3.18
4316,Ideal,F,SI2,62.6,57.0,15970,8.19,8.1,5.1
4317,Ideal,H,VS2,62.4,56.3,14034,7.65,7.7,4.79
4318,Good,D,SI2,,60.0,925,5.09,,3.22
4319,Good,E,SI1,62.8,61.0,642,4.61,4.66,2.91
4320,Ideal,G,IF,61.4,56.0,1378,4.98,4.95,3.05
4321,Ideal,J,SI2,62.1,55.0,5034,6.57,6.64,4.1
4322,Very Good,G,VVS2,60.2,58.0,7234,6.52,6.53,3.93
4323,Fair,G,SI2,65.6,61.0,1994,5.46,5.37,3.55
4324,Ideal,H,VS1,62.7,57.0,1438,5.08,5.13,3.2
4325,Premium,E,SI1,61.1,59.0,788,4.57,4.49,2.77
4326,Ideal,D,VS1,61.9,56.0,848,4.35,4.28,2.67
4327,Premium,D,VS2,62.9,58.0,911,4.26,4.23,2.67
4328,Premium,H,SI1,62.1,60.0,4932,6.45,6.4,3.99
4329,Ideal,D,VS1,61.5,54.0,695,4.34,4.38,2.68
4330,Ideal,G,VS1,61.6,55.0,3736,5.89,5.96,3.65
4331,Ideal,G,IF,61.3,56.0,1987,4.99,5.0,3.06
4332,Good,H,SI2,63.8,57.0,378,4.24,4.28,2.72
4333,Premium,F,VS2,62.4,59.0,6773,6.46,6.4,4.01
4334,Ideal,E,VS1,60.7,56.0,735,4.35,4.35,2.64
4335,Ideal,D,SI1,61.8,57.0,808,4.77,4.81,2.96
4336,Very Good,E,VVS2,61.6,57.0,4239,5.7,5.69,3.51
4337,Premium,G,VS1,62.6,58.0,3515,5.9,5.93,3.7
4338,Premium,H,SI1,62.5,58.0,10943,7.49,7.48,4.68
4339,Ideal,F,VS1,60.5,57.0,1683,5.3,5.37,3.23
4340,Premium,I,SI1,61.3,60.0,8521,7.38,7.36,4.52
4341,Ideal,E,SI2,61.9,56.0,4760,6.42,6.41,3.97
4342,,G,SI1,62.1,56.0,5083,6.44,6.47,4.01
4343,Good,G,VS2,63.2,55.0,1422,5.14,5.21,3.27
4344,Ideal,D,SI1,61.8,55.0,884,4.66,4.69,2.89
4345,Fair,I,VS1,58.0,63.0,1692,5.71,5.77,3.33
4346,Premium,F,VS1,61.5,61.0,9371,6.87,6.82,4.21
4347,Ideal,J,SI1,60.8,56.0,11447,7.99,8.09,4.89
4348,,G,VVS2,62.6,55.0,8744,6.64,6.71,4.18
4349,,I,I1,55.9,63.0,2341,6.72,6.66,3.74
4350,Ideal,E,VVS2,62.3,53.0,1013,4.64,4.67,2.9
4351,Very Good,G,SI1,62.7,59.0,1392,5.16,5.17,3.24
4352,Premium,G,SI1,62.5,58.0,4150,6.27,6.21,3.9
4353,Premium,D,VVS1,61.4,57.5,3194,5.24,5.28,3.23
4354,Fair,G,SI2,61.4,66.0,11946,8.27,8.18,5.05
4355,Ideal,I,VVS2,60.8,56.0,1351,5.27,5.29,3.21
4356,Ideal,G,SI1,61.7,55.0,377,4.08,4.12,2.53
4357,Premium,D,VS2,62.0,58.0,5259,6.16,6.2,3.83
4358,Good,F,VS1,64.0,57.0,2381,5.63,5.53,3.57
4359,Ideal,G,VVS2,60.3,56.0,1007,4.79,4.86,2.91
4360,Premium,D,SI1,59.5,60.0,2369,5.97,5.87,3.52
4361,Premium,D,VS2,61.3,60.0,3427,5.91,5.9,3.62
4362,Ideal,E,VS2,61.3,56.0,796,4.68,4.75,2.89
4363,Very Good,F,VS2,,55.0,523,4.3,,2.67
4364,,I,VS1,60.6,60.0,5726,6.88,6.85,4.16
4365,Premium,F,VS2,61.7,59.0,6905,6.48,6.45,3.99
4366,Very Good,D,SI2,,57.0,5451,6.75,,4.25
4367,Good,D,SI1,64.2,54.0,3324,5.93,5.93,3.81
4368,Good,H,SI1,61.5,64.0,4569,6.38,6.41,3.93
4369,Ideal,G,SI1,60.0,56.0,1346,5.24,5.26,3.15
4370,Premium,F,VS2,60.6,58.0,2290,5.27,5.2,3.17
4371,Good,F,SI1,63.9,59.0,3992,6.1,6.05,3.88
4372,Premium,E,VS2,62.1,59.0,2274,5.3,5.26,3.28
4373,Very Good,I,VS2,,58.0,6419,6.96,,4.15
4374,,H,VS2,62.4,54.0,628,4.41,4.34,2.73
4375,Very Good,I,VS2,63.7,59.0,17422,7.89,7.86,5.02
4376,Good,F,SI2,56.7,60.0,3859,6.63,6.57,3.74
4377,,H,SI1,65.5,59.0,9386,7.16,7.11,4.67
4378,Very Good,I,VS1,,58.0,505,4.38,,2.75
4379,Ideal,G,VS2,60.9,56.0,616,4.52,4.55,2.76
4380,,H,SI1,61.1,57.0,2314,5.71,5.75,3.5
4381,Very Good,I,SI1,63.0,59.2,15081,7.95,8.09,5.05
4382,Premium,H,VS2,62.4,58.0,4769,6.42,6.37,3.99
4383,Premium,H,SI2,61.2,58.0,14717,8.82,8.7,5.36
4384,Fair,D,SI1,65.4,60.0,2364,5.63,5.56,3.66
4385,Good,H,SI1,63.8,56.0,1226,5.09,5.06,3.24
4386,Premium,H,SI2,62.0,60.0,16722,8.27,8.18,5.1
4387,Very Good,D,SI1,63.6,60.0,2566,5.58,5.62,3.56
4388,Ideal,J,VS1,62.5,56.0,8827,7.85,7.8,4.89
4389,Premium,G,VS2,62.4,58.0,14201,7.48,7.52,4.68
4390,Premium,H,SI2,61.1,60.0,3472,6.41,6.36,3.9
4391,Ideal,G,VS1,61.9,57.0,605,4.28,4.32,2.66
4392,Ideal,E,VVS2,61.6,55.0,3535,5.8,5.82,3.58
4393,Very Good,G,VVS2,62.6,57.0,15466,7.33,7.37,4.6
4394,Good,D,SI2,63.7,62.0,2247,5.59,5.55,3.55
4395,Ideal,H,SI1,59.7,59.0,10063,7.49,7.56,4.49
4396,Premium,D,SI1,58.9,59.0,2357,5.84,5.84,3.44
4397,Premium,E,VS2,61.7,59.0,768,4.43,4.39,2.72
4398,Premium,H,SI2,61.5,62.0,7744,7.54,7.49,4.62
4399,Ideal,F,SI1,,56.0,1407,5.2,,3.17
4400,Very Good,F,VVS2,60.7,62.0,10719,6.8,6.83,4.14
4401,Ideal,F,SI2,60.7,57.0,2555,5.85,5.85,3.55
4402,Ideal,F,VS2,62.1,56.0,1789,5.37,5.33,3.32
4403,,G,VVS1,60.6,58.0,1008,4.7,4.77,2.87
4404,Very Good,G,VS2,63.6,55.0,6232,6.47,6.4,4.09
4405,Ideal,D,VS2,61.8,56.0,3858,5.79,5.82,3.59
4406,Ideal,J,SI1,62.4,56.0,4422,6.52,6.55,4.08
4407,Ideal,G,VS1,61.2,56.0,1803,5.19,5.23,3.19
4408,Very Good,G,VVS2,62.9,57.0,7975,6.45,6.56,4.09
4409,,G,VVS1,62.7,58.0,1235,4.79,4.74,2.99
4410,Ideal,G,VS1,61.8,55.5,1803,5.13,5.16,3.18
4411,Very Good,E,VVS2,63.2,59.0,549,3.96,4.01,2.52
4412,Ideal,G,SI1,61.5,57.0,12829,8.09,8.0,4.95
4413,Ideal,I,VS2,62.2,54.0,1046,5.18,5.23,3.24
4414,Premium,D,SI1,60.0,60.0,4430,6.27,6.32,3.78
4415,Ideal,F,SI2,60.9,55.0,1099,5.2,5.21,3.17
4416,Ideal,H,SI2,61.3,56.0,9444,7.7,7.64,4.7
4417,Very Good,G,SI1,59.0,62.0,2674,5.82,5.91,3.46
4418,Ideal,E,VVS1,63.0,57.0,2610,5.24,5.2,3.29
4419,Very Good,G,VVS1,62.6,54.0,3966,5.85,5.87,3.67
4420,Premium,I,SI1,61.2,59.0,540,4.41,4.38,2.69
4421,,F,SI1,62.0,56.0,2333,5.65,5.71,3.52
4422,Premium,I,VS2,60.9,60.0,18823,8.49,8.46,5.16
4423,Very Good,G,I1,60.2,61.0,5809,7.35,7.41,4.44
4424,Good,H,VS2,62.6,59.0,12723,7.47,7.57,4.71
4425,Premium,F,SI1,62.3,61.0,2724,5.8,5.76,3.6
4426,Good,E,VVS2,64.3,58.0,17449,7.2,7.13,4.61
4427,Ideal,I,VVS2,61.5,56.0,524,4.02,4.04,2.48
4428,Ideal,G,SI1,62.2,58.0,6740,6.77,6.83,4.23
4429,Ideal,F,VS2,60.7,56.0,776,4.34,4.32,2.63
4430,Ideal,G,VS2,62.0,53.9,787,4.66,4.69,2.9
4431,Ideal,H,VS1,61.8,54.2,557,4.34,4.37,2.69
4432,Premium,E,VS2,61.9,58.0,745,4.43,4.46,2.75
4433,Good,I,VVS1,63.9,56.0,709,4.26,4.22,2.71
4434,Very Good,I,SI1,63.3,59.0,507,4.25,4.22,2.68
4435,Premium,G,SI1,62.5,56.0,1286,5.1,5.07,3.18
4436,Premium,E,VS2,62.1,58.0,1763,5.38,5.32,3.32
4437,Very Good,H,VS1,63.2,59.0,9173,7.16,7.11,4.51
4438,Ideal,D,VS1,62.2,56.0,834,4.32,4.27,2.67
4439,Ideal,E,VVS2,62.3,56.0,769,4.14,4.11,2.57
4440,Very Good,E,SI1,59.7,58.0,572,4.07,4.11,2.44
4441,Very Good,H,VS2,60.1,57.0,2335,5.73,5.79,3.46
4442,,E,SI1,62.5,55.0,2406,5.69,5.63,3.54
4443,Premium,G,SI2,61.9,60.0,2087,5.72,5.62,3.51
4444,Very Good,H,SI1,62.2,57.0,2001,5.77,5.81,3.6
4445,Premium,F,VS2,60.8,58.0,2695,5.78,5.76,3.51
4446,Ideal,G,IF,61.0,57.0,1432,4.82,4.79,2.93
4447,Premium,H,SI2,61.8,59.0,4547,7.02,6.97,4.32
4448,Premium,F,VS1,62.3,61.0,7336,6.37,6.35,3.96
4449,Premium,H,SI1,61.4,61.0,13230,8.09,8.03,4.95
4450,Premium,H,VVS1,61.2,58.0,861,4.5,4.48,2.75
4451,Ideal,D,SI1,61.1,57.0,3214,5.94,5.97,3.64
4452,Premium,F,SI1,62.2,59.0,4942,6.46,6.4,4.0
4453,Good,G,VVS2,63.6,58.0,4914,6.11,6.09,3.88
4454,Ideal,D,VS2,62.0,55.0,942,4.35,4.33,2.69
4455,Ideal,H,IF,60.9,56.0,1135,4.8,4.82,2.93
4456,Premium,H,SI1,59.3,62.0,9576,7.54,7.48,4.45
4457,Ideal,G,VS2,,56.0,13355,7.35,,4.55
4458,Very Good,D,VS1,60.7,58.0,458,4.21,4.26,2.57
4459,,D,SI1,60.7,58.0,589,4.42,4.45,2.69
4460,Premium,G,SI1,61.7,58.0,13257,7.67,7.62,4.72
4461,Good,G,VS2,63.7,57.0,5922,6.41,6.37,4.07
4462,Ideal,J,IF,62.0,53.0,569,4.57,4.59,2.84
4463,Ideal,F,VS1,60.9,55.0,3759,5.77,5.82,3.53
4464,Good,J,SI1,63.9,55.0,339,4.26,4.28,2.73
4465,Very Good,H,VVS2,61.5,56.0,614,4.46,4.45,2.74
4466,Premium,I,SI1,61.0,59.0,432,4.36,4.39,2.67
4467,Ideal,D,VS2,61.5,55.0,982,4.72,4.74,2.91
4468,Ideal,D,SI1,62.2,56.0,4561,6.23,6.28,3.89
4469,Ideal,H,SI1,62.4,56.0,4603,6.47,6.44,4.03
4470,Ideal,E,VS1,62.4,57.0,781,4.41,4.44,2.76
4471,Very Good,F,VS1,63.1,57.0,7534,6.45,6.41,4.06
4472,Ideal,G,VS1,61.8,55.0,602,4.41,4.43,2.73
4473,Very Good,J,SI1,58.4,62.0,1887,5.85,5.94,3.44
4474,Premium,H,VS2,61.1,58.0,689,4.5,4.47,2.74
4475,,G,VS2,61.5,57.0,1871,5.54,5.51,3.4
4476,,E,SI2,61.4,57.0,877,4.83,4.78,2.95
4477,Premium,D,VS2,62.3,59.0,982,4.67,4.73,2.93
4478,Ideal,G,VS1,60.9,58.0,3578,5.99,6.03,3.66
4479,Very Good,F,SI2,58.1,63.0,5851,7.16,7.06,4.13
4480,Ideal,I,SI2,62.1,57.0,4306,6.6,6.71,4.13
4481,Ideal,D,VS2,62.3,56.0,780,4.42,4.47,2.77
4482,Ideal,G,VVS2,60.0,57.0,1130,4.91,4.89,2.94
4483,Very Good,F,VS2,60.1,61.5,1679,5.19,5.23,3.13
4484,Very Good,H,VS1,62.9,58.0,526,4.22,4.3,2.68
4485,Premium,F,VS1,58.8,60.0,7680,6.77,6.67,3.95
4486,Ideal,F,SI1,61.9,57.0,5197,6.37,6.45,3.97
4487,Very Good,F,SI2,63.6,55.0,3858,6.37,6.31,4.03
4488,Ideal,F,SI1,61.3,59.0,7350,6.79,6.85,4.18
4489,Premium,E,SI1,60.1,58.0,4580,6.43,6.35,3.84
4490,Fair,E,VVS2,63.2,55.0,5430,6.12,6.0,3.83
4491,,G,VVS1,60.5,57.0,1934,5.19,5.22,3.15
4492,Premium,E,SI2,58.0,60.0,8190,7.53,7.48,4.35
4493,Premium,F,SI1,59.9,60.0,5345,6.56,6.52,3.92
4494,Very Good,E,SI1,63.4,57.0,969,4.74,4.73,3.0
4495,,H,SI1,62.0,55.0,1730,5.17,5.18,3.21
4496,,E,SI2,61.2,56.0,630,4.75,4.79,2.92
4497,Good,E,SI2,61.1,61.0,4394,6.37,6.43,3.91
4498,,D,VS2,57.9,60.0,1928,5.3,5.27,3.06
4499,Premium,D,VS1,62.4,58.0,4284,5.94,5.99,3.72
4500,Ideal,J,VS2,61.4,58.0,7550,7.35,7.43,4.54
4501,Good,I,VVS2,63.8,56.0,744,4.39,4.35,2.79
4502,Premium,F,SI1,62.2,58.0,5397,6.47,6.4,4.0
4503,Fair,G,IF,56.9,61.0,1126,4.84,4.89,2.77
4504,Ideal,D,VS2,61.8,56.0,1787,5.13,5.16,3.18
4505,Ideal,G,SI1,62.4,56.0,1313,5.21,5.24,3.26
4506,Very Good,D,SI2,61.3,60.0,5234,6.62,6.66,4.07
4507,Very Good,H,SI1,62.0,60.0,10199,7.39,7.44,4.6
4508,Ideal,I,SI1,,57.0,422,4.29,,2.66
4509,Ideal,E,VS2,61.9,55.0,873,4.36,4.33,2.69
4510,Ideal,E,VS1,,56.0,735,4.35,,2.69
4511,,E,VS2,60.7,57.0,641,4.4,4.4,2.67
4512,Premium,H,SI1,59.9,60.0,14126,8.03,8.0,4.8
4513,Fair,F,SI2,60.1,66.0,3597,6.43,6.41,3.86
4514,Very Good,I,SI1,,58.0,418,4.36,,2.72
4515,Very Good,E,SI2,62.6,59.0,10317,7.53,7.61,4.74
4516,Very Good,I,SI2,61.0,59.0,4965,7.02,7.18,4.33
4517,Premium,E,I1,60.8,61.0,3584,6.41,6.38,3.89
4518,Fair,H,SI2,65.2,58.0,3640,6.27,6.16,4.05
4519,,I,VS1,61.8,55.0,1552,5.18,5.24,3.22
4520,Very Good,H,SI1,63.4,57.0,5286,6.54,6.51,4.14
4521,Ideal,H,SI1,61.0,56.0,5281,6.59,6.68,4.05
4522,Ideal,D,SI2,62.1,55.0,522,4.56,4.55,2.83
4523,Premium,G,VS2,62.5,60.0,719,4.38,4.32,2.72
4524,Ideal,I,SI1,61.7,57.0,626,4.62,4.65,2.86
4525,Ideal,J,VS1,60.5,56.0,3528,6.61,6.55,3.98
4526,Very Good,F,SI1,62.0,56.0,5108,6.41,6.46,3.99
4527,Ideal,D,SI1,62.2,54.0,574,4.45,4.46,2.77
4528,Good,F,SI1,66.1,55.0,2395,5.5,5.54,3.65
4529,Ideal,G,SI2,61.5,54.0,4397,6.53,6.52,4.01
4530,Premium,D,SI2,62.0,58.0,5137,6.62,6.6,4.1
4531,Ideal,E,VS2,62.0,57.0,844,4.32,4.32,2.68
4532,Good,G,VS2,63.1,61.0,5703,6.34,6.38,4.01
4533,Premium,D,VVS1,61.6,58.0,1582,4.79,4.73,2.93
4534,Ideal,F,SI2,61.2,58.0,2299,5.73,5.78,3.52
4535,Ideal,F,VVS1,61.8,57.0,10412,6.64,6.66,4.11
4536,Premium,F,SI2,62.7,59.0,4227,6.45,6.38,4.02
4537,Premium,D,VS2,60.8,58.0,1388,4.98,4.95,3.02
4538,Very Good,F,SI1,62.4,59.0,2672,5.67,5.54,3.5
4539,Very Good,J,SI1,62.5,58.0,12636,8.11,8.15,5.08
4540,Ideal,I,VVS2,62.4,56.0,743,4.43,4.42,2.76
4541,Premium,E,SI2,59.6,59.0,17081,8.27,8.4,4.97
4542,Ideal,D,VS2,61.2,55.0,734,4.35,4.47,2.7
4543,Premium,D,VS2,62.4,60.0,9756,6.79,6.73,4.22
4544,Premium,I,SI2,61.5,59.0,3040,6.28,6.21,3.84
4545,Ideal,D,SI1,62.4,55.0,4928,6.43,6.39,4.0
4546,Premium,F,SI1,60.6,58.0,2415,5.79,5.77,3.5
4547,Very Good,D,VS2,61.4,63.0,7146,6.35,6.32,3.89
4548,Very Good,J,VS2,63.0,57.0,1128,5.18,5.2,3.27
4549,Ideal,E,SI1,62.8,55.0,2886,5.64,5.67,3.55
4550,Premium,I,SI2,61.0,62.0,4290,7.01,6.95,4.26
4551,Ideal,I,VS2,61.0,56.0,12238,7.81,7.76,4.75
4552,Premium,E,VS1,,59.0,9541,6.87,,4.16
4553,Premium,H,SI1,61.5,59.0,5339,6.73,6.67,4.12
4554,Good,E,VVS1,62.3,64.0,903,4.6,4.62,2.87
4555,Very Good,D,VS2,63.2,57.0,12311,7.27,7.25,4.59
4556,Ideal,H,SI1,62.1,56.0,6541,6.85,6.9,4.27
4557,Premium,J,VS2,61.9,58.0,505,4.37,4.35,2.7
4558,Ideal,E,VS2,61.4,55.0,1746,5.16,5.1,3.15
4559,Very Good,D,VS2,61.4,59.0,1983,5.4,5.44,3.33
4560,Premium,D,SI1,62.8,59.0,3311,5.88,5.84,3.68
4561,Very Good,G,SI2,62.8,55.0,1050,5.13,5.15,3.23
4562,Premium,D,SI2,59.0,61.0,3205,6.32,6.29,3.72
4563,Ideal,H,SI1,62.6,56.0,5386,6.64,6.61,4.15
4564,Very Good,H,SI1,62.7,56.0,2107,5.61,5.61,3.52
4565,Ideal,G,VS1,61.0,56.0,7552,6.62,6.65,4.05
4566,Good,G,VVS2,60.3,60.5,1245,4.98,5.04,3.02
4567,Ideal,G,IF,61.9,56.0,988,4.39,4.37,2.71
4568,Ideal,H,SI2,63.4,56.0,5331,6.67,6.54,4.19
4569,Ideal,G,VS1,61.3,56.0,2756,5.78,5.73,3.53
4570,Ideal,E,VS1,61.4,56.0,1726,5.17,5.22,3.19
4571,Ideal,G,VVS2,62.8,55.0,1907,5.11,5.15,3.22
4572,,E,VVS1,61.3,55.0,1868,4.92,4.97,3.03
4573,Ideal,G,VS1,61.3,56.0,8313,6.93,6.88,4.23
4574,Ideal,F,VVS2,,56.0,11142,6.86,,4.24
4575,Very Good,J,VS2,61.6,58.0,1008,5.09,5.13,3.15
4576,Very Good,J,VS1,63.4,56.0,2321,5.89,5.87,3.73
4577,Ideal,G,VVS2,62.2,56.0,10038,6.82,6.84,4.25
4578,Ideal,F,VVS1,61.2,54.0,4982,5.82,5.78,3.55
4579,Good,G,SI1,63.6,56.0,477,4.34,4.37,2.77
4580,Ideal,G,SI2,62.4,56.0,573,4.71,4.75,2.95
4581,Premium,H,SI1,59.0,60.0,2331,5.85,5.81,3.44
4582,Premium,G,VS2,59.7,59.0,827,4.81,4.84,2.88
4583,Premium,E,IF,60.3,62.0,2879,5.54,5.54,3.34
4584,Premium,H,SI1,62.5,59.0,4631,6.78,6.72,4.22
4585,Premium,F,SI1,60.4,58.0,770,4.64,4.6,2.79
4586,,E,VVS2,62.0,55.0,766,4.3,4.31,2.67
4587,Good,E,SI1,63.4,60.0,5131,6.29,6.35,4.01
4588,Ideal,F,VS2,61.9,55.0,7589,6.68,6.72,4.15
4589,Premium,E,SI2,59.5,60.0,1295,5.24,5.18,3.1
4590,Ideal,E,IF,,58.0,15193,6.68,,4.03
4591,Good,G,SI2,56.7,62.0,4158,6.9,6.85,3.9
4592,Premium,G,VS1,58.3,60.0,7398,6.86,6.82,3.99
4593,,E,VVS2,61.9,54.0,896,4.62,4.62,2.86
4594,Good,F,SI1,64.0,57.0,1274,5.05,5.01,3.22
4595,Premium,E,I1,62.4,58.0,3135,6.37,6.33,3.96
4596,Very Good,G,SI2,62.2,60.0,5698,6.77,6.74,4.2
4597,Ideal,F,SI1,61.7,56.0,13334,7.35,7.4,4.55
4598,Premium,F,VS2,61.0,59.0,968,4.88,4.85,2.97
4599,Premium,I,SI1,62.9,58.0,447,4.39,4.42,2.77
4600,Ideal,E,SI2,62.3,56.0,4758,6.44,6.53,4.04
4601,Ideal,F,VS2,63.0,57.0,1687,5.11,5.08,3.21
4602,Ideal,G,VS2,,57.0,663,4.48,,2.79
4603,Premium,H,VVS1,61.2,59.0,775,4.48,4.51,2.75
4604,Ideal,D,SI1,61.2,54.0,709,4.34,4.32,2.65
4605,Fair,F,SI1,64.6,60.0,11154,7.18,7.09,4.61
4606,Ideal,G,VS2,63.0,56.0,1035,4.72,4.68,2.96
4607,Very Good,G,VS1,60.2,60.0,8442,6.92,6.99,4.19
4608,Good,H,SI1,63.4,56.0,490,4.45,4.44,2.82
4609,Very Good,I,SI2,60.6,58.0,2271,5.93,5.96,3.6
4610,Ideal,E,VVS1,62.3,57.0,861,4.26,4.28,2.66
4611,Good,E,SI2,61.5,64.0,4077,6.29,6.23,3.85
4612,,G,VS1,62.8,59.0,8056,6.7,6.65,4.19
4613,Good,I,VS2,60.0,65.0,15587,8.14,8.17,4.89
4614,Ideal,H,VVS2,61.7,54.0,776,4.33,4.32,2.67
4615,Very Good,J,VS2,63.3,56.0,2686,6.14,6.08,3.87
4616,Premium,F,VVS2,62.9,60.0,10580,6.8,6.72,4.25
4617,Ideal,F,VS2,62.8,53.0,2762,5.79,5.74,3.62
4618,Fair,D,VS2,57.6,68.0,1249,5.17,5.11,2.96
4619,Ideal,I,SI1,62.4,55.0,5124,6.78,6.8,4.24
4620,Ideal,G,VS2,61.4,57.0,841,4.65,4.7,2.87
4621,,E,VS1,61.9,56.0,942,4.33,4.33,2.68
4622,Premium,F,SI1,62.6,62.0,3437,6.13,6.11,3.83
4623,Very Good,F,VS2,60.0,57.0,1627,5.35,5.39,3.22
4624,Ideal,E,VVS1,61.5,57.0,13597,6.84,6.79,4.19
4625,Premium,G,VS1,60.2,59.0,854,4.51,4.46,2.7
4626,Ideal,G,SI1,,55.0,1735,5.25,,3.25
4627,Premium,G,SI2,,61.0,16314,8.83,,5.45
4628,Ideal,I,VS1,61.2,57.0,3201,6.06,6.09,3.72
4629,Ideal,G,VS2,62.5,57.0,6709,6.5,6.46,4.05
4630,Ideal,F,SI2,62.1,56.0,602,4.62,4.65,2.88
4631,Premium,G,VVS2,61.1,58.0,1835,5.2,5.14,3.16
4632,,E,SI1,61.4,63.0,1128,5.07,5.1,3.12
4633,,G,VVS1,62.0,55.0,1865,5.1,5.15,3.18
4634,Very Good,H,VS2,62.7,58.0,473,4.22,4.27,2.66
4635,Ideal,H,VVS2,62.9,57.0,828,4.4,4.35,2.75
4636,Premium,H,VS1,61.8,59.0,848,4.77,4.81,2.96
4637,Ideal,E,VS2,60.9,57.0,1689,5.22,5.23,3.18
4638,Ideal,E,SI1,62.9,57.0,755,4.72,4.76,2.98
4639,Ideal,G,VS2,61.8,55.0,544,4.34,4.36,2.69
4640,Ideal,G,IF,60.0,57.0,1624,4.72,4.78,2.85
4641,Good,H,SI2,62.4,61.0,3160,6.03,6.11,3.79
4642,,F,VS2,63.4,58.0,471,4.06,4.11,2.59
4643,Good,F,SI2,58.2,64.0,16232,8.22,8.18,4.77
4644,Fair,H,SI1,67.5,59.0,4665,6.05,5.95,4.05
4645,Very Good,E,VVS2,63.0,55.0,849,4.73,4.73,2.98
4646,Very Good,G,SI2,61.1,61.0,8419,7.44,7.46,4.55
4647,Premium,G,SI2,59.5,56.0,3724,6.43,6.35,3.8
4648,Very Good,G,VS2,62.0,57.0,1608,5.27,5.31,3.28
4649,,I,VS2,62.5,59.0,16778,8.04,8.02,5.02
4650,Good,G,SI1,63.8,58.0,4453,6.08,6.14,3.9
4651,Very Good,H,IF,60.4,61.0,3444,5.74,5.79,3.48
4652,,H,VS1,61.6,56.0,6630,6.62,6.65,4.09
4653,Good,E,VS2,63.4,59.0,1436,5.01,5.05,3.19
4654,Very Good,E,SI1,63.3,59.0,5189,6.52,6.47,4.11
4655,Ideal,J,SI2,62.5,57.0,5273,7.0,7.08,4.4
4656,,F,VVS1,60.3,57.0,854,4.42,4.43,2.67
4657,Ideal,D,I1,61.7,55.0,6303,7.11,7.08,4.38
4658,Very Good,E,VS2,61.8,58.0,3180,5.79,5.83,3.59
4659,Ideal,I,VVS1,61.8,56.0,804,4.5,4.47,2.77
4660,Ideal,I,SI1,61.9,57.0,4763,6.39,6.41,3.96
